pars,par_value_min,par_value_max,strategy,QALYs_min,QALYs_max,Inc_QALYs_min,Inc_QALYs_max
coverage_ABCWY,0.7072,1,MenC,4283.980661763049,4283.980661763049,0,0
coverage_ABCWY,0.7072,1,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
coverage_ABCWY,0.7072,1,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
coverage_ABCWY,0.7072,1,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
coverage_ACWY,0.7072,1,MenC,4283.980661763049,4283.980661763049,0,0
coverage_ACWY,0.7072,1,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
coverage_ACWY,0.7072,1,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
coverage_ACWY,0.7072,1,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
coverage_C,0.7072,1,MenC,4283.980661763049,4283.980661763049,0,0
coverage_C,0.7072,1,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
coverage_C,0.7072,1,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
coverage_C,0.7072,1,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
coverage_B,0.4776,0.7163999999999999,MenC,4283.980661763049,4283.980661763049,0,0
coverage_B,0.4776,0.7163999999999999,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
coverage_B,0.4776,0.7163999999999999,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
coverage_B,0.4776,0.7163999999999999,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
mult_p_B,0.5,1.5,MenC,4284.068600507832,4283.892725321751,0,0
mult_p_B,0.5,1.5,MenACWY,4284.087794703461,4283.911918696409,0.01919419562909752,0.019193374658243556
mult_p_B,0.5,1.5,MenACWY_MenB,4284.093218780266,4283.928190223894,0.024618272434054234,0.03546490214284859
mult_p_B,0.5,1.5,MenABCWY,4284.091199551954,4283.922132821591,0.022599044121307088,0.029407499840090168
mult_p_C,0.5,1.5,MenC,4283.990109349447,4283.971214212618,0,0
mult_p_C,0.5,1.5,MenACWY,4284.009303181089,4283.990407951254,0.019193831642041914,0.019193738636204216
mult_p_C,0.5,1.5,MenACWY_MenB,4284.0201511277555,4284.001255843179,0.03004177830825938,0.03004163056084508
mult_p_C,0.5,1.5,MenABCWY,4284.016112753737,4283.997217492377,0.02600340428944037,0.026003279758697317
mult_p_W,0.5,1.5,MenC,4284.0196496422495,4283.941674471749,0,0
