sim,Strategy,Cost,QALYs,NMB
1,MenC,2304.3725342445905,4450.436812376788,222519536.24630517
1,MenACWY,5589.169042500414,4450.436812376788,222516251.44979692
1,MenACWY_MenB,20446.886826715712,4450.436812376788,222501393.7320127
1,MenABCWY,6508.966237574762,4450.436812376788,222515331.65260184
2,MenC,2699.272656635218,4116.780093338523,205836305.39426953
2,MenACWY,5194.381664609103,4116.780093338523,205833810.28526157
2,MenACWY_MenB,22235.85886575934,4116.780093338523,205816768.8080604
2,MenABCWY,6156.692029747743,4116.780093338523,205832847.97489643
3,MenC,2562.2674379536384,4554.968356563444,227745855.56073424
3,MenACWY,5418.218360096996,4554.968356563444,227742999.6098121
3,MenACWY_MenB,20712.996724647284,4554.968356563444,227727704.83144757
3,MenABCWY,6967.016359857469,4554.968356563444,227741450.81181234
4,MenC,2586.946690237025,4622.743660550164,231134596.080818
4,MenACWY,5093.725319828399,4622.743660550164,231132089.3021884
4,MenACWY_MenB,20686.540867487638,4622.743660550164,231116496.48664075
4,MenABCWY,7463.594387603504,4622.743660550164,231129719.43312064
5,MenC,2593.7727039011447,4180.0367768683645,208999245.07071432
5,MenACWY,5503.193761638733,4180.0367768683645,208996335.6496566
5,MenACWY_MenB,22394.7855413315,4180.0367768683645,208979444.0578769
5,MenABCWY,7343.401441410598,4180.0367768683645,208994495.44197682
6,MenC,2547.2274108262013,4027.7593148976644,201385418.5174724
6,MenACWY,4604.089774141754,4027.7593148976644,201383361.65510908
6,MenACWY_MenB,21537.76984427015,4027.7593148976644,201366427.97503895
6,MenABCWY,7000.191702923917,4027.7593148976644,201380965.55318028
7,MenC,2629.0136506661916,4382.44463217303,219119602.59500086
7,MenACWY,4659.7727184459,4382.44463217303,219117571.83593306
7,MenACWY_MenB,20071.740833309577,4382.44463217303,219102159.8678182
7,MenABCWY,6597.5481502564635,4382.44463217303,219115634.06050125
8,MenC,2682.496391653865,4493.446119168291,224669623.4620229
